,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
103574,103575,Twelfth Night,3.0,2.2.7,MALVOLIO,into a desperate assurance she will none of him:
103575,103576,Twelfth Night,3.0,2.2.8,MALVOLIO,"and one thing more, that you be never so hardy to"
103576,103577,Twelfth Night,3.0,2.2.9,MALVOLIO,"come again in his affairs, unless it be to report"
103577,103578,Twelfth Night,3.0,2.2.10,MALVOLIO,your lord's taking of this. Receive it so.
103578,103579,Twelfth Night,4.0,2.2.11,VIOLA,She took the ring of me: I'll none of it.
103579,103580,Twelfth Night,5.0,2.2.12,MALVOLIO,"Come, sir, you peevishly threw it to her, and her"
103580,103581,Twelfth Night,5.0,2.2.13,MALVOLIO,"will is, it should be so returned: if it be worth"
103581,103582,Twelfth Night,5.0,2.2.14,MALVOLIO,"stooping for, there it lies in your eye, if not, be"
103582,103583,Twelfth Night,5.0,2.2.15,MALVOLIO,it his that finds it.
103583,103584,Twelfth Night,5.0,,MALVOLIO,Exit
103584,103585,Twelfth Night,6.0,2.2.16,VIOLA,I left no ring with her: what means this lady?
103585,103586,Twelfth Night,6.0,2.2.17,VIOLA,Fortune forbid my outside have not charm'd her!
103586,103587,Twelfth Night,6.0,2.2.18,VIOLA,"She made good view of me, indeed, so much,"
103587,103588,Twelfth Night,6.0,2.2.19,VIOLA,"That sure methought her eyes had lost her tongue,"
103588,103589,Twelfth Night,6.0,2.2.20,VIOLA,For she did speak in starts distractedly.
103589,103590,Twelfth Night,6.0,2.2.21,VIOLA,"She loves me, sure, the cunning of her passion"
103590,103591,Twelfth Night,6.0,2.2.22,VIOLA,Invites me in this churlish messenger.
103591,103592,Twelfth Night,6.0,2.2.23,VIOLA,"None of my lord's ring! why, he sent her none."
103592,103593,Twelfth Night,6.0,2.2.24,VIOLA,"I am the man: if it be so, as 'tis,"
103593,103594,Twelfth Night,6.0,2.2.25,VIOLA,"Poor lady, she were better love a dream."
103594,103595,Twelfth Night,6.0,2.2.26,VIOLA,"Disguise, I see, thou art a wickedness,"
103595,103596,Twelfth Night,6.0,2.2.27,VIOLA,Wherein the pregnant enemy does much.
103596,103597,Twelfth Night,6.0,2.2.28,VIOLA,How easy is it for the proper-false
103597,103598,Twelfth Night,6.0,2.2.29,VIOLA,In women's waxen hearts to set their forms!
103598,103599,Twelfth Night,6.0,2.2.30,VIOLA,"Alas, our frailty is the cause, not we!"
103599,103600,Twelfth Night,6.0,2.2.31,VIOLA,"For such as we are made of, such we be."
